ID,prd_code_sku,company,name_internal,vendor,productgroup,werksoort,costcenter,uursoort,discountgroup,currency,salesprice
d6cc32ff-13f6-4a67-88b9-1950fc8f8baf,MSZGDA,MUN,"Model ZGD, INSIGHTNOW ZigBee gateway, ethernet, indoor use, for small sensor networks (upto 3 SP8s), non-recurring",Rijnvicus BV (voorheen SWA),"ISNN InsightNow Network, non recurring",,,,,,150.00
d176f400-782d-42ba-98c2-a9311c60fe25,MSZGDRYCI,MUN,"Service Level for Model ZGD, per year, carry-in",,"ISNRY-CI InsightNow Network, recurring per year",,,,,,6.30
6264fb28-cbe2-4f55-883d-7da1fd2dad30,MSZGDRYFS,MUN,"Service Level for Model ZGD, per year, full service",,"ISNRY-FS InsightNow Network, recurring per year, full serv",,,,,,13.50
375533aa-19bd-4f09-a6f1-94218dc202a8,MSZGEA-2G,MUN,"Model ZGE, embedded INSIGHTNOW ZigBee gateway, ethernet, GPS, for outdoor use (IP67), with battery, non-recurring",,"ISNN InsightNow Network, non recurring",,,,,,495.00
93b24d84-77d7-401b-b1f9-600986cd43ec,MSZGERYCI-2G,MUN,"Service Level for Model ZGE, per year, carry-in",,"ISNRY-CI InsightNow Network, recurring per year",,,,,,41.58
a7d78f79-5617-4911-922d-e44626574088,MSZGERYFS-2G,MUN,"Service Level for Model ZGE, per year, full service",,"ISNRY-FS InsightNow Network, recurring per year, full serv",,,,,,89.10
f051b58e-0231-451f-ba08-940d15a02c70,MSZGIA,MUN,"Model ZGI, INSIGHTNOW ZigBee gateway, ethernet, indoor use, for large sensor networks, non-recurring",,"ISNN InsightNow Network, non recurring",,,,,,295.00
9b76cd39-4b98-4df1-9bbe-a28d97d92a43,MSZGIA-4G,MUN,"Model ZGI, INSIGHTNOW ZigBee gateway, ethernet and 4G, indoor use, for large sensor networks, non-recurring",,"ISNN InsightNow Network, non recurring",,,,,,395.00
6d443128-cc4e-49d3-9db6-c3426b3dfd00,MSZGIRYCI,MUN,"Service Level for Model ZGI, per year, carry-in",,"ISNRY-CI InsightNow Network, recurring per year",,,,,,18.25
a8a198e9-976e-4547-ac85-65aa63acff79,MSZGIRYCI-4G,MUN,"Service Level for Model ZGI, per year, carry-in",,"ISNRY-CI InsightNow Network, recurring per year",,,,,,28.98
b9a5811a-ed53-4849-934d-a25920c9a473,MSZGIRYFS,MUN,"Service Level for Model ZGI, per year, full service",,"ISNRY-FS InsightNow Network, recurring per year, full serv",,,,,,39.11
e80a8c7a-cbd1-4924-89fc-8d3a1987f5c9,MSZGIRYFS-4G,MUN,"Service Level for Model ZGI, per year, full service",,"ISNRY-FS InsightNow Network, recurring per year, full serv",,,,,,65.83
18f1c3de-889d-4e89-af6f-fd20039acd91,MSZGOA-E,MUN,"Model ZGO-E, INSIGHTNOW ZigBee gateway, WiFi, and 4G, for outdoor use (IP67), with battery for more than 1 day, for large sensor networks, non-recurring",,"ISNN InsightNow Network, non recurring",,,,,,945.00
308e222c-b6df-4580-8ac5-0c29e02a85d9,MSZGORYCI-4G,MUN,"Service Level for Model ZGO, per year, carry-in",,"ISNRY-CI InsightNow Network, recurring per year",,,,,,80.61
b0fd4343-9e5e-41aa-bc2d-6e415eca7432,MSZGORYFS-4G,MUN,"Service Level for Model ZGO, per year, full service",,"ISNRY-FS InsightNow Network, recurring per year, full serv",,,,,,143.21
dc8426b1-95c1-4a70-85bb-4e80395639f0,MSZGORYOL-4G,MUN,"Operational lease for Model ZGO-4G(+SIM), per year, full service",,"ISNRY-FS InsightNow Network, recurring per year, full serv",,,,,,144.00
