""Prd.code (SKU)""	""Company""	""Naam intern""	""Standaard leverancier""	""Productgroep""	""Werksoort""	""Kostenplaats""	""Uursoort""	""Kortingsgroep""	""Valuta""	""Verkoopprijs product (standaard)""
""MSLV8A-D713-10L25""	""MUN""	""Model LV8, LTE-M or NB-IoT water level meter with absolute ceramic pressure transmitter 0.8-2.0 bar (Huba D713 sensor; 18 mm diam.), 25 meter cable, roaming SIM, data setup in portal, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""Hardware-Water""	""""	""724,00""
""MSLV8A-D713-10L5""	""MUN""	""Model LV8, LTE-M or NB-IoT water level meter with absolute ceramic pressure transmitter 0.8-2.0 bar (Huba D713 sensor; 18 mm diam.), 5 meter cable, roaming SIM, data setup in portal, -  for use in artesian wells, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""Hardware-Water""	""""	""633,00""
""MSLV8A-D713-10LXX""	""MUN""	""Model LV8, LTE-M or NB-IoT water level meter with absolute ceramic pressure transmitter 0.8-2.0 bar (Huba D713 sensor; 18 mm diam.), XX meter cable, roaming SIM, data setup in portal, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""Hardware-Water""	""""	""620,00""
""MSLV8A-D713-20L20""	""MUN""	""Model LV8, LTE-M or NB-IoT water level meter with absolute ceramic pressure transmitter 0.8-3.0 bar (Huba D713 sensor; 18 mm diam.), 20 meter cable, roaming SIM, data setup in portal, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""Hardware-Water""	""""	""704,00""
""MSLV8A-D713-2x4L05""	""MUN""	""Model LV8, LTE-M or NB-IoT water level meter with 2 absolute ceramic pressure transmitters 0.8-1.4 bar (Huba D713 sensors; 18 mm diam.), each 5 meter cable, roaming SIM, 2x data setup in portal, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""Hardware-Water""	""""	""1.160,00""
""MSLV8A-D713-4L05""	""MUN""	""Model LV8, LTE-M or NB-IoT water level meter with absolute ceramic pressure transmitter 0.8-1.4 bar (Huba D713 sensor; 18 mm diam.), 5 meter cable, roaming SIM, data setup in portal, non-recurring (VG25006)""	""""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""Hardware-Water""	""""	""633,00""
""MSLV8A-D713-4L10""	""MUN""	""Model LV8, LTE-M or NB-IoT water level meter with absolute ceramic pressure transmitter 0.8-1.4 bar (Huba D713 sensor; 18 mm diam.), 10 meter cable, roaming SIM, data setup in portal, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""Hardware-Water""	""""	""653,00""
""MSLV8A-KELLER-RS485-10L60""	""MUN""	""Model LV8, LTE-M water level meter with absolute pressure transmitter 0.8-2.0 bar (21 mm diam.), 60 meter cable, roaming SIM, data setup in portal, non-recurring.""	""""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""""	""""	""1.350,00""
""MSLV8A-PCB-ASM""	""MUN""	""PCB replacement (PCB, Battery, foam, ID label)""	""Head Electronics (MACH Technology)""	""TPP Third Party Products""	""inkoop derden""	""Water""	""""	""Hardware-Water""	""""	""225,00""
""MSLV8LX-D713-10L10""	""MUN""	""LT Lease: Model LV8, LTE-M or NB-IoT waterniveau meter, met 10 meter kabel, apparaat uitlevering""	""""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""""	""""	""0,00""
""MSLV8LX-D713-10L15""	""MUN""	""LT Lease: Model LV8, LTE-M or NB-IoT waterniveau meter, met 15 meter kabel, apparaat uitlevering""	""""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""""	""""	""0,00""
""MSLV8LX-D713-20L20""	""MUN""	""LT Lease: Model LV8, LTE-M or NB-IoT waterniveau meter, met 20 meter kabel, apparaat uitlevering""	""""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""""	""""	""0,00""
""MSLV8LX-D713-4L05""	""MUN""	""LT Lease: Model LV8, LTE-M or NB-IoT waterniveau meter, met 5 meter kabel, apparaat uitlevering""	""""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""""	""""	""0,00""
""MSLV8LXRQ-D713-4L05""	""MUN""	""LT Lease: Model LV8, LTE-M or NB-IoT water level meter with absolute ceramic pressure transmitter 0.8-1.4 bar (Huba D713 sensor; 18 mm diam.), 5 meter cable, including telecom and data, recurring quarterly""	""""	""LSERQ InsightNow Lease, recurring, per 3 months""	""""	""Water""	""""	""""	""""	""65,26""
""MSLV8LXRY-D713-10L10""	""MUN""	""LT Lease: Model LV8, LTE-M or NB-IoT water level meter with absolute ceramic pressure transmitter 0.8-2.0 bar (Huba D713 sensor; 18 mm diam.), 10 meter cable, including telecom and data, recurring yearly""	""""	""LSERY InsightNow Lease, recurring, per year""	""""	""Water""	""""	""""	""""	""255,00""
""MSLV8LXRY-D713-10L15""	""MUN""	""LT Lease: Model LV8, LTE-M or NB-IoT water level meter with absolute ceramic pressure transmitter 0.8-2.0 bar (Huba D713 sensor; 18 mm diam.), 15 meter cable, including telecom and data, recurring yearly""	""""	""LSERY InsightNow Lease, recurring, per year""	""""	""Water""	""""	""""	""""	""259,00""
""MSLV8LXRY-D713-20L20""	""MUN""	""LT Lease: Model LV8, LTE-M or NB-IoT water level meter with absolute ceramic pressure transmitter 0.8-3 bar (Huba D713 sensor; 18 mm diam.), 20 meter cable, including telecom and data, recurring yearly""	""""	""LSERY InsightNow Lease, recurring, per year""	""""	""Water""	""""	""""	""""	""251,00""
""MSLV8LXRY-D713-4L05""	""MUN""	""LT Lease: Model LV8, LTE-M or NB-IoT water level meter with absolute ceramic pressure transmitter 0.8-1.4 bar (Huba D713 sensor; 18 mm diam.), 5 meter cable, including telecom and data, recurring yearly""	""""	""LSERY InsightNow Lease, recurring, per year""	""""	""Water""	""""	""""	""""	""251,00""
""MSLV8LXRY-FOUT""	""MUN""	""LT Lease: Model LV8, LTE-M or NB-IoT water level meter with absolute ceramic pressure transmitter 0.8-2.0 bar (Huba D713 sensor; 18 mm diam.), 10 meter cable, including telecom and data, recurring yearly""	""""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""""	""""	""255,00""
""MSLV8RYX-D712-4L05""	""MUN""	""Extended manufacturer warranty for MSLV8A-D712-4L05 for a maximum of 5 years, Munisense culpable malfunction only, based on one-off price, per year""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""Water""	""""	""""	""""	""44,88""
""MSLV8RYX-D713-10L10""	""MUN""	""Extended manufacturer warranty for MSLV8A-D713-10L10 for a maximum of 5 years, Munisense culpable malfunction only, based on one-off price, per year""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""Water""	""""	""""	""""	""50,16""
""MSLV8RYX-D713-4L05""	""MUN""	""Extended manufacturer warranty for MSLV8A-D713-4L05 for a maximum of 5 years, Munisense culpable malfunction only, based on one-off price, per year""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""Water""	""""	""""	""""	""48,40""
""MSLV8RYX-D713-4L10""	""MUN""	""Extended manufacturer warranty for MSLV8A-D713-4L10 for a maximum of 5 years, Munisense culpable malfunction only, based on one-off price, per year""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""Water""	""""	""""	""""	""50,16""
""MSLVxRYCI-D71x""	""MUN""	""Service Level for Model LV5, LV6, LV7, per year, carry-in""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""Water""	""""	""""	""""	""40,39""
""MSMB1A""	""MUN""	""Model MB1, modbus or 0-10v to zigbee converter, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""""	""""	""""	""""	""59,00""
""MSMD1A""	""MUN""	""Model MD1, wireless communication extension for CS-series, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""""	""""	""""	""""	""69,00""
""MSMD1A1""	""MUN""	""Model MD1, wireless communication extension for CS1, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""""	""""	""""	""""	""69,00""
""MSMD1A4""	""MUN""	""Model MD1, wireless communication extension for CS4, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""""	""""	""""	""""	""69,00""
""MSNADPRY""	""MUN""	""Portal subscription Advanced, per NMS voor noise level measurements (seconds, full audio, noise events, workflow), per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Noise""	""""	""""	""""	""700,00""
""MSNAMQRY-05""	""MUN""	""Option on Essential or Advanced: Push data to AMQP messagebus by 1..4 measurement points, recurring, per measurement point per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Noise""	""""	""""	""""	""60,00""
""MSNAMQRY-25""	""MUN""	""Option: Push data to AMQP messagebus by 5..24 measurement points, recurring, per measurement point per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Noise""	""""	""""	""""	""40,00""
""MSNAMQRY-99""	""MUN""	""Option: Push data to AMQP messagebus by >25 measurement points, recurring, per measurement point per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Noise""	""""	""""	""""	""20,00""
""MSNDP1""	""MUN""	""Distributor Demo Package 1, Noise Monitoring incl. Samurai for Sinus Distributors""	""""	""SAM Samenstelling - gebruikt grootboek van onderdelen""	""""	""""	""""	""""	""""	""3.600,00""
""MSNESSRY""	""MUN""	""Portal subscription Essential, per NMS for data noise monitoring (minutes), per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Noise""	""""	""""	""""	""250,00""
""MSNFADBRY-CI""	""MUN""	""Subscription flexible Advanced cat. B, portal, helpdesk, carry-in service, mobile internet, recurring, annual""	""""	""SAM Samenstelling - gebruikt grootboek van onderdelen""	""""	""Noise""	""""	""""	""""	""1.245,00""
""MSNFADCRY-CI""	""MUN""	""Subscription flexible Advanced cat. C, portal, helpdesk, carry-in service, mobile internet, recurring, annual""	""""	""SAM Samenstelling - gebruikt grootboek van onderdelen""	""""	""Noise""	""""	""""	""""	""1.395,00""
""MSNFADDRY-CI""	""MUN""	""Subscription flexible Advanced cat. D, portal, helpdesk, carry-in service, mobile internet, recertification, recurring, annual""	""""	""SAM Samenstelling - gebruikt grootboek van onderdelen""	""""	""Noise""	""""	""""	""""	""1.895,00""
""MSNFPRBRY-CI""	""MUN""	""Subscription flexible Premium cat. B, portal, helpdesk, carry-in service, mobile internet, recurring, annual""	""""	""SAM Samenstelling - gebruikt grootboek van onderdelen""	""""	""Noise""	""""	""""	""""	""1.495,00""
""MSNFPRCRY-CI""	""MUN""	""Subscription flexible Premium cat. C, portal, helpdesk, carry-in service, mobile internet, recurring, annual""	""""	""SAM Samenstelling - gebruikt grootboek van onderdelen""	""""	""Noise""	""""	""""	""""	""1.595,00""
""MSNFPRDRY-CI""	""MUN""	""Subscription flexible Premium cat. D, portal, helpdesk, carry-in service, mobile internet, recertification, recurring, annual""	""""	""SAM Samenstelling - gebruikt grootboek van onderdelen""	""""	""Noise""	""""	""""	""""	""2.195,00""
""MSNFWDR-ALLIN-1Y""	""MUN""	""Vuurwerkdetector per jaar (1 jaar contract)""	""""	""LSERM InsightNow Lease, recurring, month""	""diensten/abonnement""	""""	""""	""""	""""	""1.890,00""
""MSNFWDR-ALLIN-2Y""	""MUN""	""Vuurwerkdetector per jaar (2 jaar contract)""	""""	""LSERM InsightNow Lease, recurring, month""	""diensten/abonnement""	""""	""""	""""	""""	""1.512,00""
""MSNFWDR-ALLIN-3Y""	""MUN""	""Vuurwerkdetector per jaar (3 jaar contract)""	""""	""LSERM InsightNow Lease, recurring, month""	""diensten/abonnement""	""""	""""	""""	""""	""1.323,00""
""MSNFWDR-DET-1Y""	""MUN""	""Vuurwerkdetector per jaar (1 jaar contract)""	""""	""LSERM InsightNow Lease, recurring, month""	""diensten/abonnement""	""""	""""	""""	""""	""2.500,00""
""MSNFWDR-DET-3Y""	""MUN""	""Vuurwerkdetector per jaar (3 jaar contract)""	""""	""LSERM InsightNow Lease, recurring, month""	""diensten/abonnement""	""""	""""	""""	""""	""1.875,00""
""MSNFWDR-DET-5Y""	""MUN""	""Vuurwerkdetector per jaar (5 jaar contract)""	""""	""LSERM InsightNow Lease, recurring, month""	""diensten/abonnement""	""""	""""	""""	""""	""1.625,00""
""MSNFWDR-ENT-1Y""	""MUN""	""Vuurwerkportal Entree per jaar (1 jaar contract)""	""""	""LSERM InsightNow Lease, recurring, month""	""diensten/abonnement""	""""	""""	""""	""""	""3.000,00""
""MSNFWDR-ENT-3Y""	""MUN""	""Vuurwerkportal Entree voor 3 jaar (prijs per jaar)""	""""	""LSERM InsightNow Lease, recurring, month""	""diensten/abonnement""	""""	""""	""""	""""	""2.250,00""
