""Volgnr.""	""Debiteur nr.""	""Debiteur""	""Project""	""Intern steekwoord""	""account manager""	""Factuurdatum""	""Periode""	""Tot. vrk. ex. BTW (CC)""	""Tot. vrk. in. BTW (CC)""	""Betaald (CC)""	""Openstaand (CC)""
""VFA1900962""	""DE1700140""	""Gemeente Breda""	""""	""""	""Irene Barten""	""29-07-2019""	""2019/07""	""330,00""	""399,30""	""399,30""	""0,00""
""VFA1900961""	""DE1600068""	""AKRON""	""SCA190347 Brussel DRINKING BY NUMBERS bvba""	""Brussel""	""Ellen Brackel""	""29-07-2019""	""2019/07""	""1.036,00""	""1.036,00""	""1.036,00""	""0,00""
""VFA1900960""	""B0011""	""Gemeente Amsterdam p/a Waternet""	""SCA190349 Waterdecks Amsterdam""	""""	""Hans Mulder""	""25-07-2019""	""2019/07""	""827,60""	""1.001,40""	""1.001,40""	""0,00""
""VFA1900959""	""DE1900197""	""InsightAir""	""""	""""	""Mirjam Stevens""	""25-07-2019""	""2019/07""	""-590,00""	""-590,00""	""-590,00""	""0,00""
""VFA1900958""	""DE1700107""	""Bosman Bedrijfsadvies Health & Environment""	""""	""""	""Irene Barten""	""25-07-2019""	""2019/07""	""870,00""	""1.052,70""	""1.052,70""	""0,00""
""VFA1900957""	""DE1600028""	""Vitens N.V.""	""SCA190342 10 grondwaterniveau meters - Provincie Gelderland""	""""	""Irene Barten""	""23-07-2019""	""2019/07""	""5.288,59""	""6.399,19""	""6.399,19""	""0,00""
""VFA1900956""	""DE1700101""	""Nederlandse Stichting Geluidshinder""	""""	""WttV 2019""	""Ellen Brackel""	""23-07-2019""	""2019/07""	""671,25""	""812,21""	""812,21""	""0,00""
""VFA1900955""	""DE1700121""	""Gemeente Purmerend""	""""	""overlast kroeg Purmerend""	""Ellen Brackel""	""23-07-2019""	""2019/07""	""1.670,00""	""2.020,70""	""2.020,70""	""0,00""
""VFA1900954""	""G0030""	""Gemeente Leeuwarden""	""""	""Huur geluidsmeters WttV""	""George Boersma""	""23-07-2019""	""2019/07""	""6.116,00""	""7.400,36""	""7.400,36""	""0,00""
""VFA1900953""	""DE1900210""	""Gemeente Middelburg""	""""	""""	""Irene Barten""	""23-07-2019""	""2019/07""	""1.710,00""	""2.069,10""	""2.069,10""	""0,00""
""VFA1900952""	""DE1900211""	""Westergasfabriek Management BV (vh Westergas Events BV)""	""""	""""	""George Boersma""	""23-07-2019""	""2019/07""	""500,00""	""605,00""	""605,00""	""0,00""
""VFA1900951""	""G0030""	""Gemeente Leeuwarden""	""""	""Huur geluidsmeter WttV - Porseleinhoen""	""Ellen Brackel""	""23-07-2019""	""2019/07""	""1.190,00""	""1.439,90""	""1.439,90""	""0,00""
""VFA1900950""	""DE1600068""	""AKRON""	""""	""""	""George Boersma""	""18-07-2019""	""2019/07""	""5.375,10""	""5.375,10""	""5.375,10""	""0,00""
""VFA1900949""	""DE1900214""	""Remote Rental""	""""	""""	""Irene Barten""	""18-07-2019""	""2019/07""	""640,00""	""774,40""	""774,40""	""0,00""
""VFA1900948""	""DE1600072""	""Amplitude Acoustics""	""SCA180262 noise measurement Dublin, distributeur Ierland""	""""	""Mirjam Stevens""	""16-07-2019""	""2019/07""	""900,00""	""900,00""	""900,00""	""0,00""
""VFA1900947""	""G0036""	""Omgevingsdienst Drenthe""	""SCA160051 OGD Drenthe""	""""	""Omar Jarmohamed""	""16-07-2019""	""2019/07""	""3.021,90""	""3.512,86""	""3.512,86""	""0,00""
""VFA1900946""	""DE1800172""	""Stadion Feijenoord N.V.""	""SCA180256 Feijenoord Stadion - de Kuip""	""""	""George Boersma""	""16-07-2019""	""2019/07""	""2.621,09""	""3.171,52""	""3.171,52""	""0,00""
""VFA1900945""	""DE1600035""	""Gemeente Bierbeek""	""SCA160036 Gemeente Bierbeek, geluid""	""""	""George Boersma""	""16-07-2019""	""2019/07""	""912,00""	""912,00""	""912,00""	""0,00""
""VFA1900944""	""B0013""	""PrimeVision BV""	""SCA160007 Prime Vision - Vaarbewegingen Amsterdam""	""""	""George Boersma""	""16-07-2019""	""2019/07""	""2.644,41""	""3.199,74""	""3.199,74""	""0,00""
""VFA1900943""	""DE1700112""	""Gemeente Barneveld""	""SCA180251 3x klasse 1 Geluidsmeters""	""""	""Mirjam Stevens""	""16-07-2019""	""2019/07""	""2.011,26""	""2.433,62""	""2.433,62""	""0,00""
""VFA1900942""	""DE1900217""	""Nico Neppelenbroek""	""SCA180244 Grondwater meetpunten""	""""	""""	""16-07-2019""	""2019/07""	""1.029,60""	""1.245,82""	""1.245,82""	""0,00""
""VFA1900941""	""DE1700114""	""RN Entertainment""	""SCA180217 Extra SP4 meter in de portal""	""""	""""	""16-07-2019""	""2019/07""	""-97,50""	""-117,97""	""-117,97""	""0,00""
""VFA1900940""	""DE1900216""	""NV Haagse Milieu Services""	""SCA160061 NV Haagse Milieu Services; milieustraat Uitenhages""	""""	""Omar Jarmohamed""	""16-07-2019""	""2019/07""	""4.099,80""	""4.960,76""	""4.960,76""	""0,00""
""VFA1900939""	""DE1600015""	""Van Boekel Zeeland B.V.""	""SCA160061 NV Haagse Milieu Services; milieustraat Uitenhages""	""""	""Omar Jarmohamed""	""16-07-2019""	""2019/07""	""-1.024,95""	""-1.240,19""	""-1.240,19""	""0,00""
""VFA1900937""	""DE1900202""	""Gemeente Vijfheerenlanden""	""SCA160012 Vianen, water""	""""	""Hans Mulder""	""16-07-2019""	""2019/07""	""1.950,00""	""2.359,50""	""2.359,50""	""0,00""
""VFA1900936""	""DE1800159""	""BOOT organiserend ingenieursburo B.V. VERVALLEN (dubbele debiteur) (niet meer gebruiken; DE1800152 gebruiken)""	""SCA180265 13 waterniveau meters""	""""	""""	""16-07-2019""	""2019/07""	""1.669,20""	""2.019,73""	""2.019,73""	""0,00""
""VFA1900935""	""DE1800159""	""BOOT organiserend ingenieursburo B.V. VERVALLEN (dubbele debiteur) (niet meer gebruiken; DE1800152 gebruiken)""	""SCA180263 7 waterniveau meters inclusief portal""	""""	""Irene Barten""	""16-07-2019""	""2019/07""	""898,80""	""1.087,55""	""1.087,55""	""0,00""
""VFA1900934""	""DE1600028""	""Vitens N.V.""	""SCA170132 Vitens - Leerdam""	""""	""Omar Jarmohamed""	""16-07-2019""	""2019/07""	""2.333,39""	""2.823,40""	""2.823,40""	""0,00""
""VFA1900933""	""DE1600028""	""Vitens N.V.""	""SCA180257 vervanging van 2 grondwaterniveau meters""	""""	""Irene Barten""	""16-07-2019""	""2019/07""	""233,62""	""282,68""	""282,68""	""0,00""
""VFA1900932""	""DE1600012""	""Waterschap Rijn en IJssel""	""SCA170129 WRIJ - Uitbreiding 12 waterniveaumeters""	""""	""Hans Mulder""	""16-07-2019""	""2019/07""	""1.221,88""	""1.478,47""	""1.478,47""	""0,00""
""VFA1900931""	""A0002""	""Alcedo Beheer BV""	""SCA160009 Alcedo, geluid""	""""	""Omar Jarmohamed""	""16-07-2019""	""2019/07""	""3.945,12""	""4.773,60""	""4.773,60""	""0,00""
""VFA1900930""	""A0002""	""Alcedo Beheer BV""	""SCA170090 4x LV4""	""""	""Omar Jarmohamed""	""16-07-2019""	""2019/07""	""648,44""	""784,61""	""784,61""	""0,00""
""VFA1900929""	""G0026""	""Stad Leuven""	""SCA160024 Stad Leuven, geluid""	""""	""George Boersma""	""15-07-2019""	""2019/07""	""8.610,00""	""8.610,00""	""8.610,00""	""0,00""
""VFA1900928""	""A0000""	""Aveco de Bondt B.V.""	""""	""""	""Hans Mulder""	""15-07-2019""	""2019/07""	""2.160,00""	""2.613,60""	""2.613,60""	""0,00""
""VFA1900927""	""DE1700107""	""Bosman Bedrijfsadvies Health & Environment""	""""	""""	""Irene Barten""	""15-07-2019""	""2019/07""	""1.485,00""	""1.796,85""	""1.796,85""	""0,00""
""VFA1900926""	""DE1600028""	""Vitens N.V.""	""""	""""	""Irene Barten""	""15-07-2019""	""2019/07""	""600,00""	""726,00""	""726,00""	""0,00""
""VFA1900925""	""A0000""	""Aveco de Bondt B.V.""	""SCA170095 AVECO_portal-projectnummer 215753 250""	""""	""Hans Mulder""	""15-07-2019""	""2019/07""	""29.576,45""	""35.787,50""	""35.787,50""	""0,00""
""VFA1900924""	""A0000""	""Aveco de Bondt B.V.""	""""	""""	""Hans Mulder""	""11-07-2019""	""2019/07""	""2.160,00""	""2.613,60""	""2.613,60""	""0,00""
""VFA1900923""	""DE1600018""	""Oasen""	""SCA170093 Oasen, Water""	""""	""Hans Mulder""	""11-07-2019""	""2019/07""	""13.475,00""	""16.304,75""	""16.304,75""	""0,00""
""VFA1900922""	""DE1600012""	""Waterschap Rijn en IJssel""	""SCA190346 10x LV5 waterniveaumeters-project Hupsel""	""""	""Irene Barten""	""11-07-2019""	""2019/07""	""5.886,70""	""7.122,91""	""7.122,91""	""0,00""
""VFA1900921""	""DE1900204""	""Designer Outlet Centre Roermond B.V""	""SCA190333 NP2""	""""	""Irene Barten""	""11-07-2019""	""2019/07""	""12.167,12""	""14.722,22""	""14.722,22""	""0,00""
""VFA1900920""	""DE1900208""	""BAM Bouw en Techniek Regio Noord""	""SCA190345 Geluidsmetingen Aletta jacobs hal""	""""	""Irene Barten""	""11-07-2019""	""2019/07""	""3.329,78""	""4.029,03""	""4.029,03""	""0,00""
""VFA1900919""	""A0000""	""Aveco de Bondt B.V.""	""""	""""	""Hans Mulder""	""11-07-2019""	""2019/07""	""16.500,50""	""19.965,61""	""19.965,61""	""0,00""
""VFA1900918""	""B0007""	""Ahoy Rotterdam""	""SCA160033 Ahoy, geluid""	""""	""George Boersma""	""25-06-2019""	""2019/06""	""2.001,77""	""2.422,14""	""2.422,14""	""0,00""
""VFA1900917""	""A0000""	""Aveco de Bondt B.V.""	""SCA170095 AVECO_portal-projectnummer 215753 250""	""""	""Hans Mulder""	""25-06-2019""	""2019/06""	""-860,70""	""-1.041,45""	""-1.041,45""	""0,00""
""VFA1900916""	""A0000""	""Aveco de Bondt B.V.""	""SCA170095 AVECO_portal-projectnummer 215753 250""	""""	""Hans Mulder""	""25-06-2019""	""2019/06""	""-17,10""	""-20,69""	""-20,69""	""0,00""
""VFA1900915""	""O0009""	""Sinus Messtechnik""	""SCA190340 Portal-Sinus B-1190591.3431""	""""	""George Boersma""	""25-06-2019""	""2019/06""	""2.709,50""	""2.709,50""	""2.709,50""	""0,00""
""VFA1900914""	""DE1700101""	""Nederlandse Stichting Geluidshinder""	""""	""Promised Land 2019""	""Ellen Brackel""	""25-06-2019""	""2019/06""	""630,00""	""762,30""	""762,30""	""0,00""
""VFA1900913""	""DE1600061""	""Stichting Welcome to the Village""	""""	""Welcome to the Village 2019""	""Ellen Brackel""	""25-06-2019""	""2019/06""	""1.200,00""	""1.452,00""	""1.452,00""	""0,00""
""VFA1900912""	""G0030""	""Gemeente Leeuwarden""	""""	""Huur geluidsmeters Promisedland 2019""	""George Boersma""	""25-06-2019""	""2019/06""	""5.309,00""	""6.423,89""	""6.423,89""	""0,00""
""VFA1900911""	""A0000""	""Aveco de Bondt B.V.""	""""	""""	""Hans Mulder""	""18-06-2019""	""2019/06""	""4.950,15""	""5.989,68""	""5.989,68""	""0,00""
""VFA1900910""	""G0026""	""Stad Leuven""	""SCA160024 Stad Leuven, geluid""	""""	""George Boersma""	""18-06-2019""	""2019/06""	""8.610,00""	""8.610,00""	""8.610,00""	""0,00""
""VFA1900909""	""DE1600069""	""MIP Electronics""	""SCA170074 Helsingin Kaivohuone Oy, msspag80115""	""""	""Mirjam Stevens""	""13-06-2019""	""2019/06""	""468,75""	""468,75""	""468,75""	""0,00""
""VFA1900908""	""A0000""	""Aveco de Bondt B.V.""	""""	""""	""Hans Mulder""	""12-06-2019""	""2019/06""	""16.500,50""	""19.965,61""	""19.965,61""	""0,00""
""VFA1900907""	""A0000""	""Aveco de Bondt B.V.""	""""	""""	""Hans Mulder""	""12-06-2019""	""2019/06""	""4.950,15""	""5.989,68""	""5.989,68""	""0,00""
""VFA1900906""	""DE1900209""	""Stichting Nacht van Joure""	""""	""Promised Land 2019""	""Ellen Brackel""	""11-06-2019""	""2019/06""	""900,00""	""1.089,00""	""1.089,00""	""0,00""
""VFA1900905""	""DE1800169""	""n4o bv""	""SCA180253 4x SPA klasse 1 meetsets""	""""	""Irene Barten""	""06-06-2019""	""2019/06""	""2.388,36""	""2.889,92""	""2.889,92""	""0,00""
""VFA1900904""	""DE1800148""	""Gemeente Peel en Maas""	""SCA180216 Complete klasse 1 set""	""""	""""	""06-06-2019""	""2019/06""	""175,00""	""211,75""	""211,75""	""0,00""
""VFA1900903""	""H0100""	""Stage Entertainment Nederland Producties BV""	""SCA170092 Stage Entertainment, geluid""	""""	""Sander den Houdijker""	""06-06-2019""	""2019/06""	""347,00""	""419,87""	""419,87""	""0,00""
""VFA1900902""	""DE1600006""	""Gemeente Hengelo""	""SCA170084 2x SP4 Gemeente Hengelo geluid""	""""	""Sander den Houdijker""	""06-06-2019""	""2019/06""	""1.500,00""	""1.739,40""	""1.739,40""	""0,00""
""VFA1900901""	""A0014""	""Residence de Karpen""	""SCA160003 Residence de Karpen, geluid""	""""	""Hans Mulder""	""06-06-2019""	""2019/06""	""1.016,80""	""1.230,33""	""1.230,33""	""0,00""
""VFA1900900""	""DE1600008""	""Gemeente Ede""	""SCA160038 Geluidsmeting opluchttheater Ede""	""""	""Sander den Houdijker""	""06-06-2019""	""2019/06""	""4.506,60""	""5.452,99""	""5.452,99""	""0,00""
""VFA1900899""	""DE1600012""	""Waterschap Rijn en IJssel""	""SCA160046 Waterschap Rijn en IJssel, water""	""""	""Omar Jarmohamed""	""06-06-2019""	""2019/06""	""991,69""	""1.199,94""	""1.199,94""	""0,00""
""VFA1900898""	""DE1800159""	""BOOT organiserend ingenieursburo B.V. VERVALLEN (dubbele debiteur) (niet meer gebruiken; DE1800152 gebruiken)""	""SCA180255 2x grondwaterniveau meters""	""""	""""	""06-06-2019""	""2019/06""	""482,40""	""583,70""	""583,70""	""0,00""
""VFA1900897""	""DE1600046""	""Stichting Raceway Venray""	""SCA160053 Stichting Raceway Venray, geluid""	""""	""George Boersma""	""06-06-2019""	""2019/06""	""131,76""	""159,43""	""159,43""	""0,00""
""VFA1900896""	""G0029""	""Gemeente Amsterdam Stadsdeel West""	""SCA160059 Gemeente Amsterdam-West""	""""	""Mirjam Stevens""	""06-06-2019""	""2019/06""	""2.305,00""	""2.789,05""	""2.789,05""	""0,00""
""VFA1900895""	""DE1800157""	""Reykjavik Public Health Authority""	""SCA180239 monitoring bouwlawaai + horecasense""	""""	""""	""06-06-2019""	""2019/06""	""1.440,00""	""1.440,00""	""1.440,00""	""0,00""
""VFA1900894""	""DE1800151""	""Van Hout""	""SCA180225 Uitbreiding systeem + nieuwe gateway""	""""	""Irene Barten""	""06-06-2019""	""2019/06""	""149,70""	""181,14""	""181,14""	""0,00""
""VFA1900893""	""A0000""	""Aveco de Bondt B.V.""	""SCA170095 AVECO_portal-projectnummer 215753 250""	""""	""Hans Mulder""	""06-06-2019""	""2019/06""	""33.111,66""	""40.065,11""	""40.065,11""	""0,00""
""VFA1900892""	""G0022""	""Gemeente Papendrecht""	""SCA190335 Geluidsmetingen met  NP2""	""""	""Irene Barten""	""04-06-2019""	""2019/06""	""4.364,78""	""5.281,38""	""5.281,38""	""0,00""
""VFA1900891""	""DE1600068""	""AKRON""	""SCA190343 ARCELORMITTAL GENT (Grens bewoners (stofmeting))""	""""	""Irene Barten""	""03-06-2019""	""2019/06""	""2.496,00""	""2.496,00""	""2.496,00""	""0,00""
""VFA1900890""	""DE1600068""	""AKRON""	""SCA190336 1x SP4 Studax/ KU Leuven""	""""	""Irene Barten""	""03-06-2019""	""2019/06""	""2.221,00""	""2.221,00""	""2.221,00""	""0,00""
""VFA1900889""	""DE1600068""	""AKRON""	""SCA190314 brussel PENDA TECHNOLOGIES sprl""	""brussel""	""George Boersma""	""03-06-2019""	""2019/06""	""1.036,00""	""1.036,00""	""1.036,00""	""0,00""
""VFA1900888""	""DE1800159""	""BOOT organiserend ingenieursburo B.V. VERVALLEN (dubbele debiteur) (niet meer gebruiken; DE1800152 gebruiken)""	""SCA190341 4 waterniveau meters inclusief portal""	""""	""Irene Barten""	""27-05-2019""	""2019/05""	""2.445,60""	""2.959,18""	""2.959,18""	""0,00""
""VFA1900887""	""DE1700106""	""Gemeente Amsterdam Zuidas""	""SCA170107 5xSPA+1x SPC Gemeente Amsterdam Zuidas, geluid""	""""	""Mirjam Stevens""	""23-05-2019""	""2019/05""	""2.400,00""	""2.904,00""	""2.904,00""	""0,00""
""VFA1900886""	""DE1600006""	""Gemeente Hengelo""	""SCA180245 2 sp4 en 3 SOL""	""""	""Mirjam Stevens""	""23-05-2019""	""2019/05""	""527,16""	""637,86""	""637,86""	""0,00""
""VFA1900885""	""G0002""	""Gemeente Almere""	""SCA180222 Online binnenklimaat metingen Danslaan""	""Online binnenklimaat metingen Danslaan""	""Mirjam Stevens""	""23-05-2019""	""2019/05""	""117,60""	""142,30""	""142,30""	""0,00""
""VFA1900884""	""DE1700136""	""Smallsteps B.V.""	""SCA180242 CO2 meter""	""""	""""	""23-05-2019""	""2019/05""	""22,45""	""27,16""	""27,16""	""0,00""
""VFA1900883""	""DE1700104""	""Kindergarden Nederland B.V.""	""SCA170199 Kindergarden Online binnenklimaat metingen""	""""	""Mirjam Stevens""	""23-05-2019""	""2019/05""	""249,50""	""301,90""	""301,90""	""0,00""
""VFA1900882""	""DE1800155""	""Gemeente Land van Cuijk""	""SCA180235 3x SP4 vaste meetopstellingen""	""""	""""	""23-05-2019""	""2019/05""	""1.856,28""	""2.246,10""	""2.246,10""	""0,00""
""VFA1900881""	""A0000""	""Aveco de Bondt B.V.""	""""	""Aanbesteding Deventer""	""Hans Mulder""	""21-05-2019""	""2019/05""	""15.281,00""	""18.490,01""	""18.490,01""	""0,00""
""VFA1900880""	""DE1800163""	""Aequator Groen & Ruimte bv""	""SCA190320 4xLV5""	""""	""Irene Barten""	""21-05-2019""	""2019/05""	""2.349,60""	""2.843,02""	""2.843,02""	""0,00""
""VFA1900879""	""DE1900207""	""BVBA Leuven Central""	""""	""SP8""	""George Boersma""	""21-05-2019""	""2019/05""	""824,00""	""824,00""	""824,00""	""0,00""
""VFA1900878""	""DE1700136""	""Smallsteps B.V.""	""SCA190319 1 CO2 meter - nieuwe vestiging""	""1 CO2 meter - nieuwe vestiging""	""Mirjam Stevens""	""21-05-2019""	""2019/05""	""763,95""	""924,38""	""924,38""	""0,00""
""VFA1900877""	""A0000""	""Aveco de Bondt B.V.""	""""	""""	""Hans Mulder""	""21-05-2019""	""2019/05""	""28.230,60""	""34.159,03""	""34.159,03""	""0,00""
""VFA1900876""	""A0000""	""Aveco de Bondt B.V.""	""""	""""	""Hans Mulder""	""21-05-2019""	""2019/05""	""28.116,90""	""34.021,45""	""34.021,45""	""0,00""
""VFA1900875""	""DE1900206""	""De Fakbar vzw""	""""	""""	""""	""20-05-2019""	""2019/05""	""175,00""	""175,00""	""175,00""	""0,00""
""VFA1900874""	""H0066""	""Easy One bvba""	""""	""""	""""	""20-05-2019""	""2019/05""	""175,00""	""175,00""	""175,00""	""0,00""
""VFA1900873""	""O0010""	""Strandpaviljoen Woodstock ' 69 VOF""	""SCA160039 Meem - Woodstock69""	""""	""George Boersma""	""16-05-2019""	""2019/05""	""-1.110,00""	""-1.343,10""	""-1.343,10""	""0,00""
""VFA1900872""	""DE1700104""	""Kindergarden Nederland B.V.""	""SCA170119 Kindergarden Nederland, Co2""	""""	""Mirjam Stevens""	""14-05-2019""	""2019/05""	""147,00""	""177,87""	""177,87""	""0,00""
""VFA1900871""	""B0013""	""PrimeVision BV""	""SCA160007 Prime Vision - Vaarbewegingen Amsterdam""	""""	""George Boersma""	""14-05-2019""	""2019/05""	""2.644,41""	""3.199,74""	""3.199,74""	""0,00""
""VFA1900870""	""DE1700099""	""Kinderdagverblijf het Kasteeltje B.V.""	""SCA170135 Kinderdagverblijf het Kasteeltje B.V""	""""	""Mirjam Stevens""	""14-05-2019""	""2019/05""	""49,00""	""59,29""	""59,29""	""0,00""
""VFA1900869""	""DE1700100""	""SamSam Westerpark B.V.""	""SCA170106 Cultureel Kinderdagverblijf SamSam""	""""	""Mirjam Stevens""	""14-05-2019""	""2019/05""	""465,50""	""563,26""	""563,26""	""0,00""
""VFA1900868""	""DE1700097""	""SKBNM""	""SCA170149 Pilot binnenklimaat metingen""	""""	""Mirjam Stevens""	""14-05-2019""	""2019/05""	""191,10""	""231,23""	""231,23""	""0,00""
""VFA1900867""	""O0009""	""Sinus Messtechnik""	""SCA180275 Geluidapparatuur (excl. geluidmeter)""	""""	""Mirjam Stevens""	""14-05-2019""	""2019/05""	""135,00""	""135,00""	""135,00""	""0,00""
""VFA1900866""	""DE1800154""	""Kindercentra Puck&Co""	""SCA180234 Kindercentra Puck&Co""	""""	""""	""14-05-2019""	""2019/05""	""24,95""	""30,19""	""30,19""	""0,00""
""VFA1900865""	""DE1800159""	""BOOT organiserend ingenieursburo B.V. VERVALLEN (dubbele debiteur) (niet meer gebruiken; DE1800152 gebruiken)""	""SCA180230 9x grondwaterniveau meters; project P19-0197""	""""	""Irene Barten""	""14-05-2019""	""2019/05""	""1.092,00""	""1.321,32""	""1.321,32""	""0,00""
""VFA1900864""	""A0012""	""Omgevingsdienst Flevoland & Gooi en Vechtstreek""	""SCA180238 Geluid""	""""	""""	""14-05-2019""	""2019/05""	""567,30""	""686,43""	""686,43""	""0,00""
""VFA1900863""	""G0030""	""Gemeente Leeuwarden""	""SCA180229 Complete klasse 1 set""	""""	""""	""14-05-2019""	""2019/05""	""581,35""	""703,43""	""703,43""	""0,00""
""VFA1900862""	""G0030""	""Gemeente Leeuwarden""	""SCA160015 Gemeente Leeuwarden, geluid""	""""	""George Boersma""	""13-05-2019""	""2019/05""	""5.394,72""	""6.383,97""	""6.383,97""	""0,00""
""VFA1900861""	""DE1700102""	""Gemeente Leiderdorp""	""SCA170108 Gemeente Leiderdorp, geluid""	""""	""Sander den Houdijker""	""13-05-2019""	""2019/05""	""818,56""	""990,46""	""990,46""	""0,00""
""VFA1900860""	""G0016""	""Gemeente Katwijk""	""SCA180237 Geluidbeheer katwijk-‘Verplichting: 108130’""	""""	""Mirjam Stevens""	""13-05-2019""	""2019/05""	""1.738,70""	""2.103,83""	""2.103,83""	""0,00""
""VFA1900859""	""A0000""	""Aveco de Bondt B.V.""	""SCA170095 AVECO_portal-projectnummer 215753 250""	""""	""Hans Mulder""	""09-05-2019""	""2019/05""	""30.930,74""	""37.426,20""	""37.426,20""	""0,00""
""VFA1900858""	""A0000""	""Aveco de Bondt B.V.""	""SCA170095 AVECO_portal-projectnummer 215753 250""	""""	""Hans Mulder""	""09-05-2019""	""2019/05""	""29.504,48""	""35.700,42""	""35.700,42""	""0,00""
""VFA1900857""	""DE1700093""	""Norlandia Kinderopvang""	""SCA180286 Binnenklimaat Norlandia optie 2""	""""	""Irene Barten""	""09-05-2019""	""2019/05""	""294,00""	""355,74""	""355,74""	""0,00""
""VFA1900856""	""O0009""	""Sinus Messtechnik""	""SCA190337 Order NMS class 1 station""	""""	""Mirjam Stevens""	""09-05-2019""	""2019/05""	""412,50""	""412,50""	""412,50""	""0,00""
""VFA1900855""	""DE1800159""	""BOOT organiserend ingenieursburo B.V. VERVALLEN (dubbele debiteur) (niet meer gebruiken; DE1800152 gebruiken)""	""SCA190334 Boot 1xLV5-project P19-0197-Geldersch Benedeneind""	""""	""Irene Barten""	""09-05-2019""	""2019/05""	""611,40""	""739,79""	""739,79""	""0,00""
""VFA1900854""	""DE1600018""	""Oasen""	""SCA170093 Oasen, Water""	""""	""Hans Mulder""	""07-05-2019""	""2019/05""	""13.475,00""	""16.304,75""	""16.304,75""	""0,00""
""VFA1900853""	""DE1900193""	""Ingenieurs Bureau Land""	""SCA190332 59x LV5 Grondwatermeetnet Papendrecht""	""""	""Irene Barten""	""06-05-2019""	""2019/05""	""23.079,00""	""27.925,59""	""27.925,59""	""0,00""
""VFA1900852""	""DE1800179""	""Westerunie""	""""	""""	""Irene Barten""	""06-05-2019""	""2019/05""	""1.440,00""	""1.742,40""	""1.742,40""	""0,00""
""VFA1900851""	""A0000""	""Aveco de Bondt B.V.""	""""	""""	""Hans Mulder""	""06-05-2019""	""2019/05""	""1.080,00""	""1.306,80""	""1.306,80""	""0,00""
""VFA1900850""	""DE1600068""	""AKRON""	""SCA190316 ANTWERP EAST N.V. (PD world Liege container termin""	""""	""Mirjam Stevens""	""06-05-2019""	""2019/05""	""4.407,75""	""4.407,75""	""4.407,75""	""0,00""
""VFA1900849""	""DE1900193""	""Ingenieurs Bureau Land""	""SCA190331 4xLV5""	""""	""Irene Barten""	""06-05-2019""	""2019/05""	""2.100,80""	""2.541,97""	""2.541,97""	""0,00""
""VFA1900848""	""H0085""	""Café Allee bvba""	""""	""""	""""	""02-05-2019""	""2019/05""	""745,00""	""745,00""	""745,00""	""0,00""
""VFA1900847""	""H0038""	""De Blokhut bvba""	""""	""SP8""	""George Boersma""	""02-05-2019""	""2019/05""	""745,00""	""745,00""	""745,00""	""0,00""
""VFA1900846""	""H0063""	""Karement bvba""	""""	""""	""""	""02-05-2019""	""2019/05""	""175,00""	""175,00""	""175,00""	""0,00""
""VFA1900845""	""DE1600069""	""MIP Electronics""	""SCA180232 Ramboll Finland Oy- 3x SPA-Ramboll Finland Oy""	""""	""Mirjam Stevens""	""30-04-2019""	""2019/04""	""-787,50""	""-787,50""	""-787,50""	""0,00""
""VFA1900844""	""DE1900194""	""Gemeente Kerkrade""	""MPA180004 Salesguide evenementengeluid""	""""	""Irene Barten""	""24-04-2019""	""2019/04""	""12.833,84""	""15.528,95""	""15.528,95""	""0,00""
""VFA1900843""	""DE1900202""	""Gemeente Vijfheerenlanden""	""SCA160012 Vianen, water""	""""	""Hans Mulder""	""16-04-2019""	""2019/04""	""1.950,00""	""2.359,50""	""2.359,50""	""0,00""
""VFA1900842""	""DE1900202""	""Gemeente Vijfheerenlanden""	""SCA160012 Vianen, water""	""""	""Hans Mulder""	""16-04-2019""	""2019/04""	""1.950,00""	""2.359,50""	""2.359,50""	""0,00""
""VFA1900841""	""A0002""	""Alcedo Beheer BV""	""SCA190321 Alcedo CS4""	""""	""Irene Barten""	""16-04-2019""	""2019/04""	""932,32""	""1.128,11""	""1.128,11""	""0,00""
""VFA1900840""	""G0019""	""Omgevingsdienst West-Holland""	""SCA190324 HMRI Module""	""""	""Irene Barten""	""16-04-2019""	""2019/04""	""300,00""	""363,00""	""363,00""	""0,00""
""VFA1900839""	""DE1800161""	""Gemeente Valkenswaard""	""""	""""	""Irene Barten""	""16-04-2019""	""2019/04""	""495,00""	""598,95""	""598,95""	""0,00""
""VFA1900838""	""DE1600068""	""AKRON""	""""	""""	""George Boersma""	""16-04-2019""	""2019/04""	""5.375,10""	""5.375,10""	""5.375,10""	""0,00""
""VFA1900837""	""A0000""	""Aveco de Bondt B.V.""	""""	""""	""Hans Mulder""	""16-04-2019""	""2019/04""	""28.125,88""	""34.032,31""	""34.032,31""	""0,00""
""VFA1900836""	""G0014""	""Gemeente Amsterdam""	""""	""""	""George Boersma""	""15-04-2019""	""2019/04""	""12.973,25""	""15.697,63""	""15.697,63""	""0,00""
""VFA1900835""	""DE1800159""	""BOOT organiserend ingenieursburo B.V. VERVALLEN (dubbele debiteur) (niet meer gebruiken; DE1800152 gebruiken)""	""SCA190323 7x LV5 inclusief portal""	""""	""Irene Barten""	""15-04-2019""	""2019/04""	""4.379,80""	""5.299,56""	""5.299,56""	""0,00""
