""Volgnr.""	""Debiteur nr.""	""Debiteur""	""Project""	""Intern steekwoord""	""account manager""	""Factuurdatum""	""Periode""	""Tot. vrk. ex. BTW (CC)""	""Tot. vrk. in. BTW (CC)""	""Betaald (CC)""	""Openstaand (CC)""
""VFA2101880""	""DE2100276""	""Gemeente Nijkerk""	""""	""""	""Irene Barten""	""09-09-2021""	""2021/09""	""3.410,00""	""4.126,10""	""4.126,10""	""0,00""
""VFA2101879""	""DE2000250""	""SoundAppraisal BV""	""""	""verhuur Hilversum""	""George Boersma""	""09-09-2021""	""2021/09""	""6.297,00""	""7.619,37""	""7.619,37""	""0,00""
""VFA2101878""	""A0000""	""Aveco de Bondt B.V.""	""""	""""	""Irene Barten""	""09-09-2021""	""2021/09""	""2.160,00""	""2.613,60""	""2.613,60""	""0,00""
""VFA2101877""	""DE1600068""	""AKRON""	""SCA210490 Lantis / BAM NV (AKRON)""	""Lantis / BAM NV""	""George Boersma""	""08-09-2021""	""2021/09""	""-12.026,00""	""-12.026,00""	""-12.026,00""	""0,00""
""VFA2101876""	""DE1600063""	""Arcadis Nederland BV""	""""	""""	""George Boersma""	""02-09-2021""	""2021/09""	""9.344,00""	""11.306,24""	""11.306,24""	""0,00""
""VFA2101875""	""DE2000239""	""RSK Group""	""SCA210507 2xLV5-Inkooporder 517893""	""""	""Irene Barten""	""02-09-2021""	""2021/09""	""1.755,49""	""2.124,14""	""2.124,14""	""0,00""
""VFA2101874""	""G0029""	""Gemeente Amsterdam Stadsdeel West""	""SCA160059 Gemeente Amsterdam-West""	""""	""Mirjam Stevens""	""02-09-2021""	""2021/09""	""-804,16""	""-973,03""	""-973,03""	""0,00""
""VFA2101873""	""G0029""	""Gemeente Amsterdam Stadsdeel West""	""SCA210513 2xSPA-LTE-M""	""""	""Irene Barten""	""02-09-2021""	""2021/09""	""4.446,20""	""5.379,90""	""5.379,90""	""0,00""
""VFA2101872""	""G0035""	""Gemeente Emmen""	""SCA210512 1xSP7""	""""	""Irene Barten""	""02-09-2021""	""2021/09""	""2.642,55""	""3.197,49""	""3.197,49""	""0,00""
""VFA2101871""	""G0035""	""Gemeente Emmen""	""SCA170068 Gemeente Emmen, geluid""	""""	""Sander den Houdijker""	""02-09-2021""	""2021/09""	""-120,81""	""-146,18""	""-146,18""	""0,00""
""VFA2101870""	""A0012""	""Omgevingsdienst Flevoland & Gooi en Vechtstreek""	""SCA210498 4xSPC+2x SPA-LTE""	""""	""George Boersma""	""02-09-2021""	""2021/09""	""23.510,20""	""28.447,34""	""28.447,34""	""0,00""
""VFA2101869""	""A0012""	""Omgevingsdienst Flevoland & Gooi en Vechtstreek""	""SCA180238 Geluid""	""""	""""	""02-09-2021""	""2021/09""	""-354,54""	""-428,99""	""-428,99""	""0,00""
""VFA2101868""	""A0012""	""Omgevingsdienst Flevoland & Gooi en Vechtstreek""	""SCA160002 OD Flevoland, geluid""	""""	""George Boersma""	""02-09-2021""	""2021/09""	""-1.952,00""	""-2.361,92""	""-2.361,92""	""0,00""
""VFA2101867""	""G0035""	""Gemeente Emmen""	""SCA170083 4x SP4 Gemeente Emmen, geluid""	""""	""Rene Tjong""	""02-09-2021""	""2021/09""	""1.428,00""	""1.727,88""	""1.727,88""	""0,00""
""VFA2101866""	""DE1600068""	""AKRON""	""SCA180267 VAN MOER/antwerp east-2x SPA+2xSPC""	""""	""""	""02-09-2021""	""2021/09""	""1.350,00""	""1.350,00""	""1.350,00""	""0,00""
""VFA2101865""	""DE1700117""	""Stedin Groep Services B.V.""	""SCA170133 DELTA""	""""	""Mirjam Stevens""	""01-09-2021""	""2021/09""	""85,63""	""103,61""	""103,61""	""0,00""
""VFA2101864""	""DE1700117""	""Stedin Groep Services B.V.""	""SCA180274 Extra CS4 meter binnenklimaat""	""""	""""	""01-09-2021""	""2021/09""	""6,23""	""7,54""	""7,54""	""0,00""
""VFA2101863""	""B0014""	""VFA Solution BV""	""SCA190348 AQ1 4x""	""""	""Mirjam Stevens""	""31-08-2021""	""2021/08""	""399,80""	""483,76""	""483,76""	""0,00""
