""Volgnr.""	""Icon (on)vergrendeld""	""Crediteur""	""Project""	""Bron verkoop""	""Icon product""	""Lev. bestelcode (SKU)""	""Productomschrijving""	""Aantal""	""Prijs net. ink. (p.e.)""	""Tot. ink. ex. BTW (CC)""
""IOA2500304""	""""	""Technische Unie BV""	""""	""""	""""	""ZZZ-CONTMOER-M12X1,5""	""WISK CONTMOER EMUG M12X1,5""	""500,0""	""0,12""	""60,00""
""IOA2500303""	""""	""Topa Verpakkingen BV""	""""	""""	""""	""12000304""	""D-B Silica gel 1/6 Eenheid, 5 Gram""	""1.500,0""	""0,13""	""189,00""
""IOA2500302""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)""	""3,0""	""378,00""	""1.134,00""
""IOA2500301""	""""	""Huba Control""	""""	""""	""""	""ZZZ-SNS-PRESS-D713-20L20""	""Pressure sensor,713.C140306110  ceramic, 0.8-3 Bar absolute, 20M cable, 0.5-4.5V/5V supply""	""7,0""	""244,70""	""1.712,90""
""IOA2500301""	""""	""Huba Control""	""""	""""	""""	""713.99002""	""digital+temp (3 bytes), 15m kabel, 0,8 - 2,0 bara, speciale konfectie""	""25,0""	""161,25""	""4.031,25""
""IOA2500301""	""""	""Huba Control""	""""	""""	""""	""713.99000""	""digital+temp (3 bytes), 10m kabel, 0,8 - 2,0 bara, speciale konfectie""	""100,0""	""119,30""	""11.930,00""
""IOA2500300""	""""	""Random Hardware Store""	""""	""""	""""	""TP-BM-15mm-ISO-MOF""	""Isolatiemof per meter diameter 15mm voor BC90111 en BC90110""	""282,0""	""0,67""	""188,94""
""IOA2500299""	""""	""Eriks BV""	""""	""""	""""	""11093199""	""OR FKM 514320 10x2""	""2.500,0""	""0,19""	""472,50""
""IOA2500299""	""""	""Eriks BV""	""""	""""	""""	""XXX-WRK-THIRDPARTY""	""Administratiekosten""	""1,0""	""22,00""	""22,00""
""IOA2500298""	""""	""Reichelt Elektronik GmbH""	""""	""""	""""	""DELOCK 60531""	""M8 connector A-gecodeerd 3-pins bus, met schroefaansluiting Female""	""10,0""	""6,81""	""68,10""
""IOA2500298""	""""	""Reichelt Elektronik GmbH""	""""	""""	""""	""DELOCK 60529""	""M8 connector A-gecodeerd 3-pins stekker, met schroefaansluiting Male""	""5,0""	""6,81""	""34,05""
""IOA2500297""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)""	""6,0""	""378,00""	""2.268,00""
""IOA2500296""	""""	""IOT Unlimited BV""	""""	""""	""""	""ZZZ-eSIM-ROAMING-1MB""	""SIM Roaming 1MB T-Mobile NL""	""1.500,0""	""4,00""	""6.000,00""
""IOA2500295""	""""	""Huba Control""	""""	""""	""""	""MSWPS-713-25-PVC""	""Waterspanning conus voor gebruik met Huba 713 (niet inbegrepen); kunststof, herbruikbaar.""	""3,0""	""281,40""	""844,20""
""IOA2500294""	""""	""Huba Control""	""""	""""	""""	""ZZZ-SNS-PRESS-D713-20L20""	""Pressure sensor,713.C140306110  ceramic, 800-3000 mBar absolute, 20M cable, 0.5-4.5V/5V supply""	""2,0""	""244,70""	""489,40""
""IOA2500294""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""500,0""	""112,37""	""56.185,00""
""IOA2500294""	""""	""Huba Control""	""""	""""	""""	""713.99000""	""digital+temp (3 bytes), 10m kabel, 0,8 - 2,0 bara, speciale konfectie""	""55,0""	""119,30""	""6.561,50""
""IOA2500293""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""TPBATA-34615SC""	""Model BAT for xx6 or xx7 devices (LTE-M or NB-IoT) with lic1030 connector: MC34481, 2 pin, 2.54mm(P1-black. P2-red)""	""150,0""	""6,90""	""931,50""
""IOA2500293""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""TPBATA-34615""	""Battery for xx8 devices (LTE-M or NB-IoT)  ER34615, 3.6V 19AH, with 5 cm wire, with JST connector""	""1.200,0""	""5,80""	""6.264,00""
""IOA2500293""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""XXX-WRK-THIRDPARTY""	""Bank charge""	""1,0""	""25,00""	""22,50""
""IOA2500293""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""XXX-WRK-THIRDPARTY""	""Freight fee From Shenzhen to NL, door to door service""	""1,0""	""0,00""	""0,00""
""IOA2500293""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""ER3416M with Wires, connector""	""3.6V, 14Ah, wire length: 8cm, AWG22, connector: MC34481, 2 pin, 2.54mm(P1-black. P2-red)""	""150,0""	""5,60""	""756,00""
""IOA2500292""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)""	""1,0""	""378,00""	""378,00""
""IOA2500291""	""""	""GOBA""	""""	""""	""""	""XXX-WRK-THIRDPARTY""	""RVS Prope housing 
Uitgevoerd in RVS 316 2B""	""15,0""	""54,00""	""810,00""
""IOA2500291""	""""	""GOBA""	""""	""""	""""	""XXX-WRK-THIRDPARTY""	""ABS behuizing aanpassen 
10x onderzijde behuizing
5x bovenkant behuizing""	""15,0""	""49,50""	""742,50""
""IOA2500290""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)""	""1,0""	""378,00""	""378,00""
""IOA2500289""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""75,0""	""119,30""	""8.947,50""
""IOA2500289""	""""	""Huba Control""	""""	""""	""""	""713.99000""	""digital+temp (3 bytes), 10m kabel, 0,8 - 2,0 bara, speciale konfectie""	""75,0""	""133,05""	""9.978,75""
""IOA2500288""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""500,0""	""112,37""	""56.185,00""
""IOA2500288""	""""	""Huba Control""	""""	""""	""""	""ZZZ-SNS-PRESS-D713-20L20""	""Pressure sensor,713.C140306110  ceramic, 800-3000 mBar absolute, 20M cable, 0.5-4.5V/5V supply""	""20,0""	""244,70""	""4.894,00""
""IOA2500288""	""""	""Huba Control""	""""	""""	""""	""713.99000""	""digital+temp (3 bytes), 10m kabel, 0,8 - 2,0 bara, speciale konfectie""	""55,0""	""119,30""	""6.561,50""
""IOA2500287""	""""	""Huba Control""	""""	""""	""""	""713.99000""	""digital+temp (3 bytes), 10m kabel, 0,8 - 2,0 bara, speciale konfectie""	""75,0""	""133,05""	""9.978,75""
""IOA2500287""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""500,0""	""119,30""	""59.650,00""
""IOA2500286""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)""	""3,0""	""378,00""	""1.134,00""
""IOA2500285""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""300,0""	""119,30""	""35.790,00""
""IOA2500285""	""""	""Huba Control""	""""	""""	""""	""713.8110308110""	""Pressure sensor, ceramic, 800-2000 mBar absolute, 30M cable, 4.5V/5V VDC supply""	""1,0""	""129,99""	""129,99""
""IOA2500285""	""""	""Huba Control""	""""	""""	""""	""713.99000""	""digital+temp (3 bytes), 10m kabel, 0,8 - 2,0 bara, speciale konfectie""	""125,0""	""133,05""	""16.631,25""
""IOA2500284""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""TPBATA-34615""	""ER34615, 3.6V, 19Ah with 5 cm
wire and with a JST PHR-2
connector or Wurth
620002113322 (WR-WTB 2.0
mm Female Terminal Housing, 2
pins) or equivalent.""	""1.000,0""	""5,80""	""5.220,00""
""IOA2500284""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""TPBATA-LIC1030""	""LIC1030 120F 3.8V""	""2.500,0""	""1,40""	""3.150,00""
""IOA2500284""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""XXX-WRK-THIRDPARTY""	""Bank charge""	""1,0""	""25,00""	""22,50""
""IOA2500284""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""XXX-WRK-THIRDPARTY""	""Freight fee From Shenzhen to NL, door to door service""	""1,0""	""1.100,00""	""990,00""
""IOA2500283""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)""	""3,0""	""378,00""	""1.134,00""
""IOA2500282""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""25,0""	""112,37""	""2.809,25""
""IOA2500282""	""""	""Huba Control""	""""	""""	""""	""713.99000""	""digital+temp (3 bytes), 10m kabel, 0,8 - 2,0 bara, speciale konfectie""	""100,0""	""119,30""	""11.930,00""
""IOA2500281""	""""	""Foam Conversion UK Ltd""	""""	""""	""""	""TPWS6-GD1""	""Model WS6, wind screen , for the GD1 (outdoor use)""	""200,0""	""17,35""	""4.337,50""
""IOA2500280""	""""	""Huba Control""	""""	""""	""""	""713.99000""	""digital+temp (3 bytes), 10m kabel, 0,8 - 2,0 bara, speciale konfectie""	""126,0""	""119,30""	""15.031,80""
""IOA2500280""	""""	""Huba Control""	""""	""""	""""	""ZZZ-SNS-PRESS-D713-20L20""	""Pressure sensor, 713.C140306110W ceramic, 800-3000 mBar absolute, 20M cable, 0.5-4.5V/5V supply""	""1,0""	""244,70""	""244,70""
""IOA2500280""	""""	""Huba Control""	""""	""""	""""	""713.99002""	""digital+temp (3 bytes), 15m kabel, 0,8 - 2,0 bara, speciale konfectie""	""10,0""	""161,25""	""1.612,50""
""IOA2500279""	""""	""Head Electronics (MACH Technology)""	""""	""""	""""	""TPLV-PCB_LV8_3V2 rev1 (B) - copy""	""TPLV-PCB_LV8_3V2 rev1 (B) A230719""	""2.500,0""	""59,51""	""148.775,00""
""IOA2500278""	""""	""CoreIoT""	""""	""""	""""	""CT LTE-M B20 B8 Antenna 1v0" antenna's""	""CT LTE-M B20 B8 Antenna 1v0" antenna's""	""1.700,0""	""1,50""	""2.550,00""
""IOA2500277""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""125,0""	""119,30""	""14.912,50""
""IOA2500277""	""""	""Huba Control""	""""	""""	""""	""713.99000""	""digital+temp (3 bytes), 10m kabel, 0,8 - 2,0 bara, speciale konfectie""	""20,0""	""146,90""	""2.938,00""
""IOA2500276""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""1.000,0""	""112,37""	""112.370,00""
""IOA2500275""	""""	""Digi-Key""	""""	""""	""""	""732-726300002-ND""	""BLACK PLASTIC COVER FOR SMA JACK""	""1.500,0""	""0,32""	""480,00""
""IOA2500274""	""""	""Technische Unie BV""	""""	""""	""""	""ZZZ-GLND-IP68-M12-BLUE""	""Blueglobe Gland M12""	""1.000,0""	""1,03""	""1.030,00""
""IOA2500273""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""250,0""	""112,37""	""28.092,50""
""IOA2500273""	""""	""Huba Control""	""""	""""	""""	""713.99002""	""digital+temp (3 bytes), 15m kabel, 0,8 - 2,0 bara, speciale konfectie""	""20,0""	""161,25""	""3.225,00""
""IOA2500273""	""""	""Huba Control""	""""	""""	""""	""713.99000""	""digital+temp (3 bytes), 10m kabel, 0,8 - 2,0 bara, speciale konfectie""	""25,0""	""146,90""	""3.672,50""
""IOA2500272""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)""	""2,0""	""378,00""	""756,00""
""IOA2500271""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""400,0""	""112,37""	""44.948,00""
